entry_date,exit_date,direction,entry,exit,stop,target,bars_held,pnl_$,pnl_%_equity,exit_reason
2010-04-16,2010-04-19,long,2012.97998046875,1990.6050589425224,1990.6050589425224,2057.729823521205,1,-70.76491333134221,-3.2698977037451273,stop
2010-04-21,2010-04-28,long,2027.52001953125,1995.5564444405693,1995.5564444405693,2091.4471697126114,5,-66.7846297456554,-3.190296612357583,stop
2010-06-21,2010-06-24,long,1888.219970703125,1856.7399379185267,1856.7399379185267,1951.1800362723216,3,-64.44420858035983,-3.1799445366169006,stop
2010-06-24,2010-06-29,long,1844.1600341796875,1811.4275599888392,1811.4275599888392,1909.624982561384,3,-62.18058631133736,-3.1690211399933186,stop
2010-09-10,2010-09-15,long,1882.7900390625,1939.7657470703125,1854.3021850585938,1939.7657470703125,3,110.230377193596,5.801727075812274,target
2010-09-28,2010-10-12,long,1980.469970703125,2044.669921875,1948.3699951171875,2044.669921875,10,116.89062851608679,5.814909207759266,target
2010-10-14,2010-10-18,long,2048.050048828125,2100.861572265625,2021.644287109375,2100.861572265625,2,122.67540606753998,5.767317822075111,target
2010-10-21,2010-11-04,long,2091.14990234375,2179.9239589146205,2046.7628740583148,2179.9239589146205,10,131.8055691879242,5.858664795789229,target
2010-11-08,2010-11-12,long,2179.06005859375,2141.9878365652903,2141.9878365652903,2253.2045026506694,4,-75.64635499502312,-3.1763363461397804,stop
2010-11-29,2010-12-02,long,2121.110107421875,2174.4166085379466,2094.456856863839,2174.4166085379466,3,132.84956353866852,5.761254999332636,target
2011-01-04,2011-01-05,long,2237.7900390625,2266.724591936384,2223.322762625558,2266.724591936384,1,135.00899604241818,5.535961717020561,target
2011-01-10,2011-01-12,long,2268.590087890625,2299.035906110491,2253.367178780692,2299.035906110491,2,142.91965863100768,5.552925776898247,target
2011-02-03,2011-03-04,long,2316.219970703125,2359.9599609375,2272.253932407924,2404.152047293527,20,76.78810019407001,2.8265296490127443,timeout
2011-04-08,2011-04-18,long,2314.02001953125,2262.761544363839,2262.761544363839,2416.5369698660716,6,-87.58767593337402,-3.135432434069115,stop
2011-05-04,2011-05-16,long,2375.1201171875,2348.0574340820312,2348.0574340820312,2429.2454833984375,8,-88.30113802660178,-3.2632909798261145,stop
2011-07-11,2011-08-02,long,2357.31005859375,2310.2201189313614,2310.2201189313614,2451.489937918527,16,-82.4588114425212,-3.1501792150612946,stop
2011-09-26,2011-10-03,long,2187.719970703125,2126.5960606166295,2126.5960606166295,2309.967790876116,5,-78.77605934996922,-3.107374673884932,stop
2011-10-25,2011-10-26,long,2341.14990234375,2292.4747314453125,2292.4747314453125,2438.500244140625,1,-77.23501910958379,-3.1442922454588995,stop
2011-10-26,2011-10-27,long,2305.31005859375,2406.130911690848,2254.899632045201,2406.130911690848,1,139.48329906661633,5.862807545000225,target
2011-11-07,2011-11-08,long,2331.4599609375,2387.135515485491,2303.6221836635045,2387.135515485491,1,144.78815278778652,5.748745030396294,target
2012-01-04,2012-01-18,long,2315.280029296875,2411.920148577009,2266.959969656808,2411.920148577009,9,155.975026889294,5.856253486861776,target
2012-01-23,2012-02-03,long,2433.030029296875,2517.265659877232,2390.9122140066966,2517.265659877232,9,164.27604971016223,5.826698273934623,target
2012-02-06,2012-02-15,long,2514.989990234375,2577.5370047433034,2483.716482979911,2577.5370047433034,7,171.82035954275568,5.758742442626862,target
2012-03-12,2012-03-14,long,2639.60009765625,2717.178170340402,2600.811061314174,2717.178170340402,2,182.88595210241613,5.795849522449236,target
2012-03-28,2012-04-10,long,2778.909912109375,2722.0045776367188,2722.0045776367188,2892.7205810546875,8,-105.04124263386068,-3.1465017263071187,stop
2012-04-30,2012-05-04,long,2723.159912109375,2689.05118233817,2689.05118233817,2791.3773716517853,4,-104.74345562000104,-3.239512869319011,stop
2012-06-20,2012-06-25,long,2605.159912109375,2551.9575544084823,2551.9575544084823,2711.5646275111603,3,-98.45285513065768,-3.146901003528214,stop
2012-06-25,2012-07-05,long,2531.949951171875,2652.0262974330353,2471.911778041295,2652.0262974330353,7,177.97314348653308,5.873482994943982,target
2012-07-06,2012-07-12,long,2604.89990234375,2545.3975132533483,2545.3975132533483,2723.9046805245534,4,-100.45588405046729,-3.131334217440554,stop
2012-07-20,2012-07-23,long,2639.409912109375,2578.2635323660716,2578.2635323660716,2761.702671595982,1,-97.25315880904262,-3.1294962967483833,stop
2012-08-01,2012-08-16,long,2634.5,2748.647652762277,2577.4261736188614,2748.647652762277,11,176.45387162059097,5.861521462618952,target
2012-08-21,2012-09-14,long,2767.0400390625,2849.907470703125,2725.6063232421875,2849.907470703125,17,184.8251105666706,5.79965301318406,target
2012-09-20,2012-09-25,long,2846.169921875,2827.0252598353795,2827.0252598353795,2884.459245954241,3,-116.18723527433521,-3.445999503566805,stop
2012-09-25,2012-09-26,long,2839.47998046875,2785.682460239955,2785.682460239955,2947.0750209263397,1,-102.81884465853763,-3.158342613287346,stop
2012-09-27,2012-09-28,long,2784.81005859375,2819.405029296875,2767.5125732421875,2819.405029296875,1,173.93213929862605,5.5170147564237375,target
2012-10-04,2012-10-09,long,2817.47998046875,2765.9371948242188,2765.9371948242188,2920.5655517578125,3,-105.25267140052709,-3.163988807273614,stop
2012-12-20,2012-12-21,long,2690.989990234375,2647.7060546875,2647.7060546875,2777.557861328125,1,-102.64803225229772,-3.1865119210789037,stop
2012-12-27,2013-01-02,long,2614.239990234375,2680.5821358816966,2581.068917410714,2680.5821358816966,3,179.74728177530423,5.763567491096974,target
2013-01-04,2013-02-04,long,2723.669921875,2715.679931640625,2645.9896240234375,2879.030517578125,20,-13.64756836993214,-0.41375974806594407,timeout
2013-02-12,2013-02-21,long,2766.31005859375,2734.6009783063614,2734.6009783063614,2829.728219168527,6,-107.14037882410537,-3.2617209361030226,stop
2013-03-12,2013-04-10,long,2788.679931640625,2859.2099609375,2743.698992047991,2878.641810825893,20,143.56590352455154,4.518003624116879,timeout
2013-04-12,2013-04-15,long,2848.030029296875,2799.6475917271205,2799.6475917271205,2944.794904436384,1,-105.50126548147034,-3.176594866175817,stop
2013-04-15,2013-04-17,long,2811.85009765625,2770.8681117466517,2770.8681117466517,2893.8140694754466,2,-103.09021234561932,-3.205835566670113,stop
2013-04-17,2013-04-18,long,2776.1201171875,2734.2974853515625,2734.2974853515625,2859.765380859375,1,-99.5767546880603,-3.1991352525167027,stop
2013-05-07,2013-05-22,long,2947.469970703125,3045.810494559152,2898.2997087751114,3045.810494559152,11,175.3638569930261,5.820167524731618,target
2013-07-22,2013-08-19,long,3054.030029296875,3069.760009765625,2989.8925258091517,3182.3050362723216,20,18.90439504753965,0.5929113116421563,timeout
2013-09-12,2013-10-02,long,3173.110107421875,3255.9596121651784,3131.6853550502233,3255.9596121651784,14,185.06804339870186,5.7702018774461035,target
2013-10-03,2013-10-08,long,3231.679931640625,3179.9459490094864,3179.9459490094864,3335.147896902902,3,-108.1285970598403,-3.187401767693919,stop
