swing_n,rr,risk,min_fvg_pct,allow_short,cagr,max_dd,sharpe,win_rate,profit_factor,n_trades,final
5,1.5,0.03,0.003,True,0.10027946515936903,-0.3747092076135632,0.6385511616232754,0.4987405541561713,1.3711776121507735,397,6741.283594694319
5,3.0,0.03,0.003,True,0.0996926542387655,-0.5660773100115258,0.553443204020338,0.36585365853658536,1.4363054189953521,328,6669.853273913857
5,2.0,0.02,0.001,True,0.0996840330892319,-0.20190242622031151,0.7712826123358945,0.44902912621359226,1.491220564478665,412,6668.809231996433
2,2.0,0.02,0.0015,True,0.09968131925290447,-0.21863027726372886,0.7899479880552577,0.44974874371859297,1.4529728263392292,398,6668.480612025113
3,2.0,0.02,0.001,True,0.09806160711387091,-0.1898914219933373,0.7585931848119118,0.44630071599045346,1.4125027091373228,419,6475.069048220646
3,2.0,0.02,0.0015,True,0.09793757395244462,-0.21863027726372863,0.7690608603162222,0.4474327628361858,1.4342009449393849,409,6460.479884074134
5,3.0,0.02,0.001,True,0.09741859984730405,-0.39058915205091516,0.679146278778153,0.37777777777777777,1.5546477788524344,360,6399.77451101447
5,2.0,0.02,0.0015,True,0.09696064277710681,-0.2347121775642751,0.7619979683190572,0.44801980198019803,1.4983789483830332,404,6346.65680927256
2,3.0,0.02,0.003,False,0.09593829787267327,-0.23493595075035756,0.8828813955791384,0.45,1.9136696292306843,200,6229.58367915075
3,2.0,0.03,0.003,True,0.09502520987766161,-0.37776989050888354,0.5753158257601708,0.4270557029177719,1.3146452264111026,377,6126.758962084684
2,1.5,0.02,0.0015,True,0.09429530628135763,-0.22452223084299405,0.8021106957793271,0.5175644028103045,1.4256632368579083,427,6045.724631945712
2,1.5,0.02,0.001,True,0.09405220991914098,-0.24231824425425774,0.7878764688876213,0.5158371040723982,1.4001211068609882,442,6018.962690167076
5,3.0,0.02,0.0015,True,0.0935932562011903,-0.41123367656397414,0.6623200914883948,0.37677053824362605,1.5664715187271014,353,5968.7439727821675
3,1.5,0.03,0.003,True,0.09257169216065653,-0.39523178677187765,0.59899569041988,0.49373433583959897,1.2687506117269216,399,5858.389563539837
2,3.0,0.02,0.003,True,0.09100130543712659,-0.4693903852222774,0.6927771494235817,0.3829113924050633,1.5868570612320443,316,5692.5204916366065
5,1.5,0.02,0.001,True,0.0909346033706826,-0.26218379063592323,0.7686088284088398,0.5135746606334841,1.4125773701858995,442,5685.574937371939
3,1.5,0.02,0.001,True,0.09036477593358794,-0.25829671604703586,0.7634682705527678,0.5123042505592841,1.349638928705161,447,5626.567181811388
5,3.0,0.02,0.003,False,0.09003952852165797,-0.23305095134534748,0.7927717787712116,0.42857142857142855,1.7464441210290564,217,5593.147873525209
5,2.0,0.02,0.003,False,0.08985935213765273,-0.1837537874905465,0.8814575651795874,0.49800796812749004,1.733226400944573,251,5574.71592175896
3,1.5,0.02,0.0015,True,0.08937200774767229,-0.2408759962153787,0.7668539780618389,0.5127020785219399,1.3676328292118802,433,5525.14950128776
2,2.0,0.02,0.003,False,0.0878970744029719,-0.14718070412205786,0.9009098697213576,0.5,1.6810906498307816,238,5377.6763253598465
5,1.5,0.02,0.0015,True,0.08736467673875836,-0.2448543682797426,0.7499492078396662,0.5116279069767442,1.4168548150401643,430,5325.368267503211
3,3.0,0.02,0.003,False,0.0865837478819238,-0.20726006860790347,0.7885710861544968,0.4265402843601896,1.7128024584488886,211,5249.515661552638
5,1.5,0.02,0.003,False,0.08413046797752188,-0.2039120946227525,0.8957442742327428,0.5597014925373134,1.6558175555786645,268,5017.8456326724845
2,1.5,0.02,0.003,False,0.08310146285392417,-0.16351667148407667,0.9270915455805689,0.562992125984252,1.6375613125976392,254,4923.594073951757
3,2.0,0.02,0.003,False,0.08083795238873015,-0.20730632690842077,0.815146146773143,0.48770491803278687,1.5972388697929218,244,4722.151931845526
3,1.5,0.02,0.003,False,0.07847531594150059,-0.2157282928342259,0.8571139951998045,0.5538461538461539,1.559481847291135,260,4520.251460014321
3,3.0,0.02,0.003,True,0.07826829679294911,-0.3620520906374456,0.603678284156339,0.36890243902439024,1.4407623462304207,328,4502.956779689837
2,1.5,0.02,0.003,True,0.07809556637222292,-0.29452921862103976,0.7100877008914959,0.5076530612244898,1.388127098188261,392,4488.574750052723
2,2.0,0.02,0.003,True,0.07772303367092581,-0.2783669906632136,0.6644145011641936,0.4371584699453552,1.3866232265528309,366,4457.705005622453
5,2.0,0.02,0.003,True,0.07602525880168454,-0.2574657411372482,0.6422097588193749,0.4358288770053476,1.434224235479221,374,4319.555774673954
5,3.0,0.02,0.003,True,0.07042109191613721,-0.4128534524092816,0.5486218964484211,0.36585365853658536,1.4209936316380778,328,3891.839454918384
5,1.5,0.02,0.003,True,0.0689844595173299,-0.26520991724314935,0.6346908582794656,0.4987405541561713,1.3649055221960849,397,3788.8560572477772
3,2.0,0.02,0.003,True,0.06649452433646985,-0.2600688270596413,0.5731207039889342,0.4270557029177719,1.316072961008777,377,3616.4713141626794
3,1.5,0.02,0.003,True,0.06401598566514388,-0.28128765113207577,0.5955442019375361,0.49373433583959897,1.2838690154740888,399,3452.292296307348
2,2.0,0.01,0.001,False,0.058538047113424474,-0.06971991682576739,1.0722087317283475,0.5183823529411765,1.808898738244562,272,3114.1900863855867
3,3.0,0.01,0.0015,False,0.057451652100191763,-0.11877145342421858,0.9180544155060574,0.44155844155844154,1.8805327218187775,231,3050.9860783735417
